web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519894631-6259","https://www.planespotters.net/airline/China-Eastern-Airlines?p=7","B-8967","Airbus A330-343","C32W32Y230","28. Jul 2017","null","0.7 Years"
"1519894631-6240","https://www.planespotters.net/airline/China-Eastern-Airlines?p=7","B-1041","Airbus A330-343","C32W32Y230","29. Jan 2018","null","0.1 Years"
"1519894636-6351","https://www.planespotters.net/airline/China-Eastern-Airlines?p=5","B-2420","Airbus A321-211","C20Y155","16. Oct 2006","null","11.5 Years"
"1519894639-6418","https://www.planespotters.net/airline/China-Eastern-Airlines?p=4","B-8973","Airbus A320-214(WL)","C8Y150","13. Jan 2017","null","1.2 Years"
"1519894644-6479","https://www.planespotters.net/airline/China-Eastern-Airlines?p=2","B-1836","Airbus A320-214(WL)","C8Y150","27. May 2014","null","3.8 Years"
"1519894639-6391","https://www.planespotters.net/airline/China-Eastern-Airlines?p=4","B-8119","Airbus A320-232(WL)","C8Y150","27. Nov 2015","null","2.3 Years"
"1519894631-6265","https://www.planespotters.net/airline/China-Eastern-Airlines?p=7","B-1380","Boeing 737-8 MAX","","26. Dec 2017","null","0.2 Years"
"1519894626-6158","https://www.planespotters.net/airline/China-Eastern-Airlines?p=9","B-5780","Boeing 737-89P(WL)","C8Y159","26. Sep 2013","null","4.5 Years"
"1519894624-6077","https://www.planespotters.net/airline/China-Eastern-Airlines?p=10","B-6148","Boeing 737-89P(WL)","","16. Nov 2015","null","2.3 Years"
"1519894626-6129","https://www.planespotters.net/airline/China-Eastern-Airlines?p=9","B-1791","Boeing 737-89P(WL)","","22. Jun 2015","null","2.7 Years"
"1519894629-6217","https://www.planespotters.net/airline/China-Eastern-Airlines?p=8","B-1515","Boeing 737-89P(WL)","","11. Jun 2015","null","2.7 Years"
"1519894631-6258","https://www.planespotters.net/airline/China-Eastern-Airlines?p=7","B-8863","Airbus A330-343","C32W32Y230","14. Dec 2017","null","0.6 Years"
"1519894646-6542","https://www.planespotters.net/airline/China-Eastern-Airlines?p=1","B-6456","Airbus A319-132(WL)","C8Y114","16. Apr 2014","null","3.9 Years"
"1519894646-6549","https://www.planespotters.net/airline/China-Eastern-Airlines?p=1","B-6463","Airbus A319-132(WL)","C8Y114","15. Oct 2014","null","3.4 Years"
"1519894646-6568","https://www.planespotters.net/airline/China-Eastern-Airlines?p=1","B-1608","Airbus A320-232(WL)","C8Y150","13. Nov 2014","null","3.3 Years"
"1519894631-6232","https://www.planespotters.net/airline/China-Eastern-Airlines?p=7","B-6121","Airbus A330-243","C24Y242","28. Feb 2006","null","12.1 Years"
"1519894636-6348","https://www.planespotters.net/airline/China-Eastern-Airlines?p=5","B-2291","Airbus A321-211","C20Y155","18. Aug 2005","null","12.6 Years"
"1519894634-6310","https://www.planespotters.net/airline/China-Eastern-Airlines?p=6","B-9947","Airbus A321-231(WL)","C12Y170","18. Jul 2013","null","4.7 Years"
"1519894641-6443","https://www.planespotters.net/airline/China-Eastern-Airlines?p=3","B-6637","Airbus A320-232","C8Y150","29. Mar 2010","null","8.0 Years"
"1519894636-6350","https://www.planespotters.net/airline/China-Eastern-Airlines?p=5","B-2419","Airbus A321-211","C20Y155","18. Sep 2006","null","11.5 Years"
"1519894641-6465","https://www.planespotters.net/airline/China-Eastern-Airlines?p=3","B-6802","Airbus A320-214","C8Y150","30. Sep 2011","null","6.5 Years"
"1519894636-6343","https://www.planespotters.net/airline/China-Eastern-Airlines?p=5","B-1837","Airbus A321-231(WL)","C12Y170","17. Jul 2014","null","3.6 Years"
"1519894639-6377","https://www.planespotters.net/airline/China-Eastern-Airlines?p=4","B-6878","Airbus A320-214","C8Y150","09. May 2012","null","5.9 Years"
"1519894631-6222","https://www.planespotters.net/airline/China-Eastern-Airlines?p=7","B-5943","Airbus A330-243","C30Y204","24. Apr 2014","null","3.9 Years"
"1519894639-6397","https://www.planespotters.net/airline/China-Eastern-Airlines?p=4","B-8276","Airbus A320-232(WL)","C8Y150","27. Nov 2015","null","2.3 Years"
"1519894646-6551","https://www.planespotters.net/airline/China-Eastern-Airlines?p=1","B-6466","Airbus A319-115(WL)","C8Y114","12. Dec 2014","null","3.3 Years"
"1519894631-6237","https://www.planespotters.net/airline/China-Eastern-Airlines?p=7","B-6543","Airbus A330-243","C30Y204","19. Jan 2012","null","6.2 Years"
