web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519894901-6990","https://www.planespotters.net/airline/All-Nippon-Airways?p=5","JA879A","Boeing 787-9 Dreamliner","C40W14Y192","20. Jul 2016","null","1.7 Years"
"1519894911-7160","https://www.planespotters.net/airline/All-Nippon-Airways?p=1","JA8946","Airbus A320-211","Y166","11. Apr 1997","null","21.0 Years"
"1519894907-7082","https://www.planespotters.net/airline/All-Nippon-Airways?p=3","JA717A","Boeing 777-281(ER)","C21Y384","08. Aug 2006","null","11.6 Years"
"1519894909-7113","https://www.planespotters.net/airline/All-Nippon-Airways?p=2","JA79AN","Boeing 737-881(WL)","C8Y158","29. Sep 2014","null","3.4 Years"
"1519894904-7023","https://www.planespotters.net/airline/All-Nippon-Airways?p=4","JA806A","Boeing 787-8 Dreamliner","C46W21Y102","28. Mar 2012","null","6.1 Years"
"1519894904-7017","https://www.planespotters.net/airline/All-Nippon-Airways?p=4","JA","Boeing 787-8 Dreamliner","","(On Order)","null",""
"1519894909-7135","https://www.planespotters.net/airline/All-Nippon-Airways?p=2","JA613A","Boeing 767-381(ER)","C35Y179","05. Aug 2004","null","13.6 Years"
"1519894909-7129","https://www.planespotters.net/airline/All-Nippon-Airways?p=2","JA607A","Boeing 767-381(ER)","C10Y260","08. Aug 2002","null","15.6 Years"
"1519894909-7115","https://www.planespotters.net/airline/All-Nippon-Airways?p=2","JA81AN","Boeing 737-881(WL)","C8Y158","24. Mar 2015","null","3.0 Years"
"1519894909-7128","https://www.planespotters.net/airline/All-Nippon-Airways?p=2","JA606A","Boeing 767-381(ER)","C10Y260","23. Jul 2002","null","15.6 Years"
"1519894907-7100","https://www.planespotters.net/airline/All-Nippon-Airways?p=3","JA757A","Boeing 777-381","C21Y493","11. Jun 2003","null","14.8 Years"
"1519894911-7166","https://www.planespotters.net/airline/All-Nippon-Airways?p=1","JA213A","Airbus A320-271N","C8Y138","31. Jul 2017","null","0.6 Years"
"1519894911-7186","https://www.planespotters.net/airline/All-Nippon-Airways?p=1","JA52AN","Boeing 737-881(WL)","C8Y159","19. Jun 2008","null","9.7 Years"
"1519894901-6989","https://www.planespotters.net/airline/All-Nippon-Airways?p=5","JA877A","Boeing 787-9 Dreamliner","C48W21Y146","21. Mar 2016","null","2.0 Years"
"1519894907-7056","https://www.planespotters.net/airline/All-Nippon-Airways?p=3","JA8567","Boeing 767-381","C10Y260","16. Aug 1993","null","24.6 Years"
"1519894904-7024","https://www.planespotters.net/airline/All-Nippon-Airways?p=4","JA807A","Boeing 787-8 Dreamliner","C42Y198","12. Jan 2012","null","6.2 Years"
