web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519892963-3256","https://www.planespotters.net/airline/United-Airlines?p=13","N77006","Boeing 777-224(ER)","C50Y217","01. Oct 2010","0006","19.3 Years"
"1519892981-3614","https://www.planespotters.net/airline/United-Airlines?p=6","N73251","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0251","17.5 Years"
"1519892988-3755","https://www.planespotters.net/airline/United-Airlines?p=3","N448UA","Airbus A320-232","C12Y138","06. Jan 2009
(06. Jul 1998)","4248","19.8 Years"
"1519892963-3222","https://www.planespotters.net/airline/United-Airlines?p=13","N77066","Boeing 767-424(ER)","C39Y203","01. Oct 2010","0066","15.8 Years"
"1519892981-3595","https://www.planespotters.net/airline/United-Airlines?p=6","N36272","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0272","16.4 Years"
"1519892960-3158","https://www.planespotters.net/airline/United-Airlines?p=14","N772UA","Boeing 777-222","C28Y336","29. Sep 1995","2372","23.3 Years"
"1519892976-3515","https://www.planespotters.net/airline/United-Airlines?p=8","N39418","Boeing 737-924(ER)(WL)","C20Y159","01. Oct 2010","0418","10.0 Years"
"1519892988-3730","https://www.planespotters.net/airline/United-Airlines?p=3","N423UA","Airbus A320-232","C12Y138","01. Feb 1995","4623","23.3 Years"
"1519892983-3627","https://www.planespotters.net/airline/United-Airlines?p=5","N24736","Boeing 737-724(WL)","C12Y114","01. Oct 2010","0736","18.5 Years"
"1519892963-3211","https://www.planespotters.net/airline/United-Airlines?p=13","N66057","Boeing 767-424(ER)","C39Y203","01. Oct 2010","0057","16.2 Years"
"1519892966-3295","https://www.planespotters.net/airline/United-Airlines?p=12","N661UA","Boeing 767-322(ER)(WL)","C30Y184","29. Jul 1993","6461","24.6 Years"
"1519892960-3181","https://www.planespotters.net/airline/United-Airlines?p=14","N786UA","Boeing 777-222(ER)","F8C40Y221","04. Apr 1997","2786","21.0 Years"
"1519892963-3259","https://www.planespotters.net/airline/United-Airlines?p=13","N77019","Boeing 777-224(ER)","C50Y217","01. Oct 2010","0019","11.0 Years"
"1519892966-3304","https://www.planespotters.net/airline/United-Airlines?p=12","N670UA","Boeing 767-322(ER)(WL)","C30Y184","31. Aug 1999","6670","18.5 Years"
"1519892988-3771","https://www.planespotters.net/airline/United-Airlines?p=3","N465UA","Airbus A320-232","C12Y138","06. Jan 2009
(20. Nov 2000)","4265","17.4 Years"
"1519892985-3706","https://www.planespotters.net/airline/United-Airlines?p=4","N13720","Boeing 737-724(WL)","C12Y114","01. Oct 2010","0720","19.1 Years"
"1519892985-3678","https://www.planespotters.net/airline/United-Airlines?p=4","N476UA","Airbus A320-232","C12Y138","06. Jan 2009
(10. Jul 2001)","4276","16.8 Years"
"1519892985-3720","https://www.planespotters.net/airline/United-Airlines?p=4","N17730","Boeing 737-724(WL)","C12Y114","01. Oct 2010","0730","18.6 Years"
"1519892968-3315","https://www.planespotters.net/airline/United-Airlines?p=11","N14118","Boeing 757-224(WL)","C16Y153","01. Oct 2010","0118","21.0 Years"
"1519892993-3873","https://www.planespotters.net/airline/United-Airlines?p=1","N839UA","Airbus A319-131","C8Y120","31. May 2001","4039","16.8 Years"
"1519892983-3645","https://www.planespotters.net/airline/United-Airlines?p=5","N13227","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0227","18.9 Years"
"1519892960-3166","https://www.planespotters.net/airline/United-Airlines?p=14","N78001","Boeing 777-224(ER)","C50Y217","01. Oct 2010","0001","19.5 Years"
"1519892985-3724","https://www.planespotters.net/airline/United-Airlines?p=4","N23707","Boeing 737-724(WL)","C12Y114","01. Oct 2010","0707","19.8 Years"
"1519892981-3580","https://www.planespotters.net/airline/United-Airlines?p=6","N33264","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0264","16.6 Years"
"1519892976-3485","https://www.planespotters.net/airline/United-Airlines?p=8","N37413","Boeing 737-924(ER)(WL)","C20Y159","01. Oct 2010","0413","10.2 Years"
"1519892973-3449","https://www.planespotters.net/airline/United-Airlines?p=9","N66848","Boeing 737-924(ER)(WL)","C20Y159","30. Mar 2015","0848","3.0 Years"
"1519892978-3550","https://www.planespotters.net/airline/United-Airlines?p=7","N77535","Boeing 737-824(WL)","C16Y150","26. Aug 2016","0535","1.6 Years"
