web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Age,Models
1519893816-4668,https://www.planespotters.net/airline/British-Airways?p=3,G-XLEK,Airbus A380-841,F14C97W55Y303,03. Feb 2016,2.5 Years,A380
1519893814-4582,https://www.planespotters.net/airline/British-Airways?p=4,G-CIVL,Boeing 747-436,F14C52W36Y235,28. Mar 1997,21.0 Years,747
1519893814-4611,https://www.planespotters.net/airline/British-Airways?p=4,G-VIIH,Boeing 777-236(ER),F14C48W40Y122,07. May 1997,20.9 Years,777
1519893819-4699,https://www.planespotters.net/airline/British-Airways?p=2,G-EUUU,Airbus A320-232,CY168,07. Mar 2008,10.1 Years,A320
1519893819-4704,https://www.planespotters.net/airline/British-Airways?p=2,G-EUUZ,Airbus A320-232,CY168,21. Oct 2008,9.4 Years,A320
1519893811-4543,https://www.planespotters.net/airline/British-Airways?p=5,G-STBE,Boeing 777-36N(ER),F14C56W44Y183,09. Dec 2011,6.3 Years,777
1519893816-4673,https://www.planespotters.net/airline/British-Airways?p=3,G-BNLY,Boeing 747-436,F14C52W36Y235,10. Feb 1993,25.1 Years,747
1519893814-4622,https://www.planespotters.net/airline/British-Airways?p=4,G-VIIU,Boeing 777-236(ER),C40W24Y219,28. May 1999,18.8 Years,777
1519893814-4587,https://www.planespotters.net/airline/British-Airways?p=4,G-CIVR,Boeing 747-436,F14C86W30Y145,02. Mar 1998,20.0 Years,747
1519893811-4538,https://www.planespotters.net/airline/British-Airways?p=5,G-ZZZC,Boeing 777-236,F17C48W24Y127,11. Nov 1995,22.5 Years,777
1519893819-4715,https://www.planespotters.net/airline/British-Airways?p=2,G-EUYK,Airbus A320-232,CY168,18. Jan 2011,7.2 Years,A320
1519893816-4663,https://www.planespotters.net/airline/British-Airways?p=3,G-XLEF,Airbus A380-841,F14C97W55Y303,14. May 2014,4.1 Years,A380
1519893821-4752,https://www.planespotters.net/airline/British-Airways?p=1,G-DBCG,Airbus A319-131,CY144,11. Jul 2012,12.1 Years,A320
1519893819-4742,https://www.planespotters.net/airline/British-Airways?p=2,G-MIDT,Airbus A320-232,CY168,30. Aug 2012,17.1 Years,A320
1519893811-4545,https://www.planespotters.net/airline/British-Airways?p=5,G-STBG,Boeing 777-336(ER),F14C56W44Y183,13. Sep 2013,4.5 Years,777
1519893819-4744,https://www.planespotters.net/airline/British-Airways?p=2,G-MIDY,Airbus A320-232,CY168,23. Aug 2012,18.8 Years,A320
1519893814-4608,https://www.planespotters.net/airline/British-Airways?p=4,G-VIIE,Boeing 777-236(ER),F14C48W40Y122,27. Feb 1997,21.1 Years,777
1519893816-4636,https://www.planespotters.net/airline/British-Airways?p=3,G-TTOE,Airbus A320-232,CY168,17. Apr 2009,16.0 Years,A320
1519893821-4799,https://www.planespotters.net/airline/British-Airways?p=1,G-EUUJ,Airbus A320-232,CY168,25. Nov 2002,15.4 Years,A320
1519893819-4705,https://www.planespotters.net/airline/British-Airways?p=2,G-EUYA,Airbus A320-232,CY168,24. Nov 2008,9.3 Years,A320
1519893821-4780,https://www.planespotters.net/airline/British-Airways?p=1,G-EUPP,Airbus A319-131,CY143,14. Aug 2000,17.6 Years,A320
1519893816-4639,https://www.planespotters.net/airline/British-Airways?p=3,G-TTNC,Airbus A320-251N,,(On Order),,A320
1519893811-4556,https://www.planespotters.net/airline/British-Airways?p=5,G-ZBJF,Boeing 787-8 Dreamliner,C35W25Y154,25. May 2014,3.8 Years,787
1519893816-4687,https://www.planespotters.net/airline/British-Airways?p=3,G-CIVG,Boeing 747-436,F14C86W30Y145,20. Apr 1995,22.9 Years,747
1519893814-4633,https://www.planespotters.net/airline/British-Airways?p=4,G-YMMG,Boeing 777-236(ER),F13C48W32Y127,27. Sep 2000,17.5 Years,777
1519893814-4626,https://www.planespotters.net/airline/British-Airways?p=4,G-VIIY,Boeing 777-236(ER),F14C48W40Y122,22. Oct 1999,18.4 Years,777
1519893819-4725,https://www.planespotters.net/airline/British-Airways?p=2,G-EUYV,Airbus A320-232(WL),CY168,16. May 2014,3.9 Years,A320
1519893816-4680,https://www.planespotters.net/airline/British-Airways?p=3,G-BYGG,Boeing 747-436,F14C86W30Y145,29. Apr 1999,18.9 Years,747
1519893814-4592,https://www.planespotters.net/airline/British-Airways?p=4,G-CIVW,Boeing 747-436,F14C86W30Y145,15. May 1998,19.8 Years,747
1519893811-4525,https://www.planespotters.net/airline/British-Airways?p=5,G-YMMI,Boeing 777-236(ER),F13C48W32Y127,02. Nov 2000,17.4 Years,777
1519893821-4773,https://www.planespotters.net/airline/British-Airways?p=1,G-EUPH,Airbus A319-131,CY132,23. May 2000,17.9 Years,A320
1519893819-4709,https://www.planespotters.net/airline/British-Airways?p=2,G-EUYE,Airbus A320-232,CY168,05. Jun 2009,8.8 Years,A320
1519893821-4760,https://www.planespotters.net/airline/British-Airways?p=1,G-EUOD,Airbus A319-131,CY132,16. Aug 2001,16.6 Years,A320
1519893821-4755,https://www.planespotters.net/airline/British-Airways?p=1,G-DBCJ,Airbus A319-131,CY144,07. Aug 2012,11.2 Years,A320
1519893819-4698,https://www.planespotters.net/airline/British-Airways?p=2,G-EUUT,Airbus A320-232,CY168,12. Dec 2007,10.3 Years,A320
1519893811-4542,https://www.planespotters.net/airline/British-Airways?p=5,G-STBD,Boeing 777-36N(ER),F14C56W44Y183,15. Oct 2011,6.4 Years,777
1519893811-4550,https://www.planespotters.net/airline/British-Airways?p=5,G-STBL,Boeing 777-336(ER),F14C56W44Y183,28. Jul 2014,3.7 Years,777
1519893816-4648,https://www.planespotters.net/airline/British-Airways?p=3,G-EUXK,Airbus A321-231,CY205,30. Aug 2007,10.6 Years,A320
1519893811-4544,https://www.planespotters.net/airline/British-Airways?p=5,G-STBF,Boeing 777-336(ER),F14C56W44Y183,21. Feb 2012,6.1 Years,777
1519893816-4640,https://www.planespotters.net/airline/British-Airways?p=3,G-EUXC,Airbus A321-231,CY205,15. Oct 2004,13.4 Years,A320
1519893814-4584,https://www.planespotters.net/airline/British-Airways?p=4,G-CIVN,Boeing 747-436,F14C52W36Y235,29. Sep 1997,20.5 Years,747
1519893816-4665,https://www.planespotters.net/airline/British-Airways?p=3,G-XLEH,Airbus A380-841,F14C97W55Y303,16. Oct 2014,3.8 Years,A380
1519893814-4581,https://www.planespotters.net/airline/British-Airways?p=4,G-CIVK,Boeing 747-436,F14C52W36Y235,28. Feb 1997,21.0 Years,747
1519893814-4583,https://www.planespotters.net/airline/British-Airways?p=4,G-CIVM,Boeing 747-436,F14C52W36Y235,05. Jun 1997,20.8 Years,747
1519893821-4771,https://www.planespotters.net/airline/British-Airways?p=1,G-EUPF,Airbus A319-131,CY132,30. Mar 2000,18.0 Years,A320
1519893811-4553,https://www.planespotters.net/airline/British-Airways?p=5,G-ZBJC,Boeing 787-8 Dreamliner,C35W25Y154,01. Sep 2013,4.8 Years,787
1519893816-4662,https://www.planespotters.net/airline/British-Airways?p=3,G-XLEE,Airbus A380-841,F14C97W55Y303,06. Mar 2014,4.4 Years,A380
1519893814-4630,https://www.planespotters.net/airline/British-Airways?p=4,G-YMMD,Boeing 777-236(ER),C48W24Y203,18. Feb 2000,18.1 Years,777
1519893819-4722,https://www.planespotters.net/airline/British-Airways?p=2,G-EUYS,Airbus A320-232(WL),CY168,30. Jan 2014,4.2 Years,A320
1519893811-4552,https://www.planespotters.net/airline/British-Airways?p=5,G-ZBJB,Boeing 787-8 Dreamliner,C35W25Y154,25. Jun 2013,4.9 Years,787
1519893821-4759,https://www.planespotters.net/airline/British-Airways?p=1,G-EUOC,Airbus A319-131,CY132,16. Jul 2001,16.7 Years,A320
1519893816-4682,https://www.planespotters.net/airline/British-Airways?p=3,G-CIVB,Boeing 747-436,F14C52W36Y235,15. Feb 1994,24.1 Years,747
1519893811-4551,https://www.planespotters.net/airline/British-Airways?p=5,G-ZBJA,Boeing 787-8 Dreamliner,C35W25Y154,28. Jun 2013,4.9 Years,787
1519893811-4567,https://www.planespotters.net/airline/British-Airways?p=5,G-ZBKF,Boeing 787-9 Dreamliner,F8C42W39Y127,29. Jan 2016,2.1 Years,787
1519893821-4779,https://www.planespotters.net/airline/British-Airways?p=1,G-EUPO,Airbus A319-131,CY132,01. Aug 2000,17.7 Years,A320
1519893811-4574,https://www.planespotters.net/airline/British-Airways?p=5,G-ZBKM,Boeing 787-9 Dreamliner,F8C42W39Y127,28. Jul 2016,1.6 Years,787
1519893821-4798,https://www.planespotters.net/airline/British-Airways?p=1,G-EUUI,Airbus A320-232,CY168,22. Nov 2002,15.5 Years,A320
1519893821-4769,https://www.planespotters.net/airline/British-Airways?p=1,G-EUPD,Airbus A319-131,CY143,10. Dec 1999,18.3 Years,A320
1519893814-4617,https://www.planespotters.net/airline/British-Airways?p=4,G-VIIO,Boeing 777-236(ER),C40W24Y216,26. Jan 1999,19.1 Years,777
1519893814-4590,https://www.planespotters.net/airline/British-Airways?p=4,G-CIVU,Boeing 747-436,F14C52W36Y235,24. Apr 1998,19.9 Years,747
1519893821-4762,https://www.planespotters.net/airline/British-Airways?p=1,G-EUOF,Airbus A319-131,CY143,23. Oct 2001,16.5 Years,A320
1519893819-4710,https://www.planespotters.net/airline/British-Airways?p=2,G-EUYF,Airbus A320-232,CY168,28. Jan 2010,8.1 Years,A320
1519893821-4750,https://www.planespotters.net/airline/British-Airways?p=1,G-DBCE,Airbus A319-131,CY144,30. Jun 2012,13.0 Years,A320
1519893811-4558,https://www.planespotters.net/airline/British-Airways?p=5,G-ZBJH,Boeing 787-8 Dreamliner,C35W25Y154,15. Aug 2014,3.6 Years,787
1519893819-4734,https://www.planespotters.net/airline/British-Airways?p=2,G-GATN,Airbus A320-232,CY171,24. Jul 2015,16.4 Years,A320
1519893816-4661,https://www.planespotters.net/airline/British-Airways?p=3,G-XLED,Airbus A380-841,F14C97W55Y303,16. Jan 2014,4.6 Years,A380
1519893811-4575,https://www.planespotters.net/airline/British-Airways?p=5,G-ZBKN,Boeing 787-9 Dreamliner,F8C42W39Y127,07. Sep 2016,1.5 Years,787
1519893819-4713,https://www.planespotters.net/airline/British-Airways?p=2,G-EUYI,Airbus A320-232,CY168,03. Jun 2010,7.8 Years,A320
1519893816-4650,https://www.planespotters.net/airline/British-Airways?p=3,G-EUXM,Airbus A321-231,CY205,23. Nov 2007,10.4 Years,A320
1519893821-4782,https://www.planespotters.net/airline/British-Airways?p=1,G-EUPS,Airbus A319-131,CY143,23. Oct 2000,17.4 Years,A320
1519893814-4631,https://www.planespotters.net/airline/British-Airways?p=4,G-YMME,Boeing 777-236(ER),C48W24Y203,16. Apr 2000,17.9 Years,777
1519893816-4652,https://www.planespotters.net/airline/British-Airways?p=3,G-MEDG,Airbus A321-231,C23Y131,02. Nov 2012,16.0 Years,A320
1519893811-4560,https://www.planespotters.net/airline/British-Airways?p=5,G-ZBJJ,Boeing 787-8 Dreamliner,C35W25Y154,(On Order),,787
1519893819-4741,https://www.planespotters.net/airline/British-Airways?p=2,G-MIDS,Airbus A320-232,CY168,03. Sep 2012,17.1 Years,A320
1519893819-4706,https://www.planespotters.net/airline/British-Airways?p=2,G-EUYB,Airbus A320-232,CY168,27. Nov 2008,9.3 Years,A320
1519893819-4728,https://www.planespotters.net/airline/British-Airways?p=2,G-EUYY,Airbus A320-232(WL),CY168,09. Oct 2014,3.5 Years,A320
1519893811-4554,https://www.planespotters.net/airline/British-Airways?p=5,G-ZBJD,Boeing 787-8 Dreamliner,C35W25Y154,27. Sep 2013,4.7 Years,787
1519893821-4747,https://www.planespotters.net/airline/British-Airways?p=1,G-DBCB,Airbus A319-131,CY144,28. May 2012,14.0 Years,A320
1519893811-4535,https://www.planespotters.net/airline/British-Airways?p=5,G-YMMU,Boeing 777-236(ER),C48W24Y203,31. Jul 2009,8.7 Years,777
1519893816-4667,https://www.planespotters.net/airline/British-Airways?p=3,G-XLEJ,Airbus A380-841,F14C97W55Y303,10. Nov 2015,2.7 Years,A380
1519893821-4790,https://www.planespotters.net/airline/British-Airways?p=1,G-EUUA,Airbus A320-232,CY168,31. Jan 2002,16.3 Years,A320
1519893821-4788,https://www.planespotters.net/airline/British-Airways?p=1,G-EUPY,Airbus A319-131,CY132,12. Apr 2001,17.0 Years,A320
1519893816-4664,https://www.planespotters.net/airline/British-Airways?p=3,G-XLEG,Airbus A380-841,F14C97W55Y303,11. Sep 2014,3.9 Years,A380
1519893819-4723,https://www.planespotters.net/airline/British-Airways?p=2,G-EUYT,Airbus A320-232(WL),CY168,20. Feb 2014,4.1 Years,A320
1519893811-4577,https://www.planespotters.net/airline/British-Airways?p=5,G-ZBKP,Boeing 787-9 Dreamliner,F8C42W39Y127,06. Dec 2016,1.4 Years,787
1519893811-4569,https://www.planespotters.net/airline/British-Airways?p=5,G-ZBKH,Boeing 787-9 Dreamliner,F8C42W39Y127,29. Jun 2016,2.0 Years,787
1519893821-4781,https://www.planespotters.net/airline/British-Airways?p=1,G-EUPR,Airbus A319-131,CY143,09. Oct 2000,17.5 Years,A320
1519893811-4576,https://www.planespotters.net/airline/British-Airways?p=5,G-ZBKO,Boeing 787-9 Dreamliner,F8C42W39Y127,26. Sep 2016,1.5 Years,787
1519893811-4532,https://www.planespotters.net/airline/British-Airways?p=5,G-YMMR,Boeing 777-236(ER),C48W24Y203,23. Mar 2009,9.0 Years,777
1519893821-4766,https://www.planespotters.net/airline/British-Airways?p=1,G-EUPA,Airbus A319-131,CY143,06. Oct 1999,18.5 Years,A320
1519893814-4615,https://www.planespotters.net/airline/British-Airways?p=4,G-VIIM,Boeing 777-236(ER),F14C48W40Y122,26. Mar 1998,20.0 Years,777
1519893821-4785,https://www.planespotters.net/airline/British-Airways?p=1,G-EUPV,Airbus A319-131,CY132,13. Feb 2001,17.1 Years,A320
1519893814-4616,https://www.planespotters.net/airline/British-Airways?p=4,G-VIIN,Boeing 777-236(ER),F14C48W40Y122,21. Aug 1998,19.6 Years,777
1519893811-4555,https://www.planespotters.net/airline/British-Airways?p=5,G-ZBJE,Boeing 787-8 Dreamliner,C35W25Y154,15. May 2014,3.8 Years,787
1519893816-4655,https://www.planespotters.net/airline/British-Airways?p=3,G-MEDM,Airbus A321-231,CY205,23. Sep 2012,11.7 Years,A320
1519893819-4743,https://www.planespotters.net/airline/British-Airways?p=2,G-MIDX,Airbus A320-232,CY168,07. Nov 2012,18.1 Years,A320
1519893816-4676,https://www.planespotters.net/airline/British-Airways?p=3,G-BYGC,Boeing 747-436,F14C86W30Y145,19. Jan 1999,19.1 Years,747
1519893811-4564,https://www.planespotters.net/airline/British-Airways?p=5,G-ZBKC,Boeing 787-9 Dreamliner,F8C42W39Y127,23. Oct 2015,2.4 Years,787
1519893811-4571,https://www.planespotters.net/airline/British-Airways?p=5,G-ZBKJ,Boeing 787-9 Dreamliner,F8C42W39Y127,28. Apr 2016,1.9 Years,787
1519893814-4593,https://www.planespotters.net/airline/British-Airways?p=4,G-CIVX,Boeing 747-436,F14C86W30Y145,03. Sep 1998,19.5 Years,747
1519893819-4729,https://www.planespotters.net/airline/British-Airways?p=2,G-GATH,Airbus A320-232,CY171,02. Apr 2015,16.9 Years,A320
1519893811-4531,https://www.planespotters.net/airline/British-Airways?p=5,G-YMMP,Boeing 777-236(ER),F13C48W32Y127,30. Oct 2001,16.4 Years,777
1519893811-4539,https://www.planespotters.net/airline/British-Airways?p=5,G-STBA,Boeing 777-336(ER),F14C56W44Y183,09. Jul 2010,7.7 Years,777
1519893816-4684,https://www.planespotters.net/airline/British-Airways?p=3,G-CIVD,Boeing 747-436,F14C52W36Y235,14. Dec 1994,23.3 Years,747
1519893816-4683,https://www.planespotters.net/airline/British-Airways?p=3,G-CIVC,Boeing 747-436,F14C52W36Y235,26. Feb 1994,24.0 Years,747
1519893811-4528,https://www.planespotters.net/airline/British-Airways?p=5,G-YMML,Boeing 777-236(ER),F13C48W32Y127,14. Apr 2001,16.9 Years,777
1519893814-4607,https://www.planespotters.net/airline/British-Airways?p=4,G-VIID,Boeing 777-236(ER),F14C48W40Y122,18. Feb 1997,21.1 Years,777
1519893814-4621,https://www.planespotters.net/airline/British-Airways?p=4,G-VIIT,Boeing 777-236(ER),C40W24Y216,26. May 1999,18.8 Years,777
1519893816-4666,https://www.planespotters.net/airline/British-Airways?p=3,G-XLEI,Airbus A380-841,F14C97W55Y303,13. Feb 2015,3.4 Years,A380
1519893819-4730,https://www.planespotters.net/airline/British-Airways?p=2,G-GATJ,Airbus A320-232,CY171,19. Dec 2014,16.7 Years,A320
1519893814-4586,https://www.planespotters.net/airline/British-Airways?p=4,G-CIVP,Boeing 747-436,F14C52W36Y235,17. Feb 1998,20.1 Years,747
1519893816-4670,https://www.planespotters.net/airline/British-Airways?p=3,G-BNLK,Boeing 747-436,F14C52W36Y235,25. May 1990,27.8 Years,747
1519893819-4721,https://www.planespotters.net/airline/British-Airways?p=2,G-EUYR,Airbus A320-232(WL),CY168,21. Nov 2013,4.3 Years,A320
1519893816-4679,https://www.planespotters.net/airline/British-Airways?p=3,G-BYGF,Boeing 747-436,F14C86W30Y145,17. Feb 1999,19.1 Years,747
1519893819-4700,https://www.planespotters.net/airline/British-Airways?p=2,G-EUUV,Airbus A320-232,CY168,18. Apr 2008,9.9 Years,A320
1519893816-4646,https://www.planespotters.net/airline/British-Airways?p=3,G-EUXI,Airbus A321-231,CY205,05. Aug 2005,12.6 Years,A320
1519893811-4562,https://www.planespotters.net/airline/British-Airways?p=5,G-ZBKA,Boeing 787-9 Dreamliner,F8C42W39Y127,28. Sep 2015,2.5 Years,787
1519893821-4783,https://www.planespotters.net/airline/British-Airways?p=1,G-EUPT,Airbus A319-131,CY132,05. Dec 2000,17.3 Years,A320
1519893819-4691,https://www.planespotters.net/airline/British-Airways?p=2,G-EUUL,Airbus A320-232,CY168,20. Dec 2002,15.3 Years,A320
1519893816-4644,https://www.planespotters.net/airline/British-Airways?p=3,G-EUXG,Airbus A321-231,CY205,02. Dec 2004,13.3 Years,A320
1519893814-4629,https://www.planespotters.net/airline/British-Airways?p=4,G-YMMC,Boeing 777-236(ER),C48W24Y203,04. Feb 2000,18.1 Years,777
1519893814-4580,https://www.planespotters.net/airline/British-Airways?p=4,G-CIVJ,Boeing 747-436,F14C52W36Y235,11. Feb 1997,21.1 Years,747
1519893816-4654,https://www.planespotters.net/airline/British-Airways?p=3,G-MEDL,Airbus A321-231,CY205,03. Oct 2012,12.1 Years,A320
1519894626-6142,https://www.planespotters.net/airline/China-Eastern-Airlines?p=9,B-5492,Boeing 737-89P(WL),C8Y159,24. Nov 2009,8.4 Years,737
1519894634-6317,https://www.planespotters.net/airline/China-Eastern-Airlines?p=6,B-5926,Airbus A330-243,C30Y204,04. Jun 2013,4.8 Years,A330
1519894636-6367,https://www.planespotters.net/airline/China-Eastern-Airlines?p=5,B-6755,Airbus A321-231,C12Y166,23. Jun 2011,6.7 Years,A320
1519894626-6118,https://www.planespotters.net/airline/China-Eastern-Airlines?p=9,B-1537,Boeing 737-89P(WL),,21. Oct 2016,1.4 Years,737
1519894629-6185,https://www.planespotters.net/airline/China-Eastern-Airlines?p=8,B-5271,Boeing 737-79P(WL),C8Y126,25. Oct 2010,7.4 Years,737
1519894636-6357,https://www.planespotters.net/airline/China-Eastern-Airlines?p=5,B-6366,Airbus A321-211,C20Y155,28. Jul 2008,9.6 Years,A320
1519894646-6556,https://www.planespotters.net/airline/China-Eastern-Airlines?p=1,B-6476,Airbus A319-115(WL),C8Y114,11. May 2015,2.8 Years,A320
1519894631-6248,https://www.planespotters.net/airline/China-Eastern-Airlines?p=7,B-6100,Airbus A330-343,C38Y262,25. Jul 2008,9.9 Years,A330
1519894639-6399,https://www.planespotters.net/airline/China-Eastern-Airlines?p=4,B-8387,Airbus A320-214(WL),C8Y150,02. Mar 2017,1.0 Years,A320
1519894631-6233,https://www.planespotters.net/airline/China-Eastern-Airlines?p=7,B-6122,Airbus A330-243,C24Y242,13. Mar 2006,12.1 Years,A330
1519894646-6538,https://www.planespotters.net/airline/China-Eastern-Airlines?p=1,B-6439,Airbus A319-133,C8Y114,29. Mar 2013,4.9 Years,A320
1519894636-6332,https://www.planespotters.net/airline/China-Eastern-Airlines?p=5,B-9975,Airbus A320-232(WL),C8Y150,05. Nov 2013,4.4 Years,A320
1519894636-6323,https://www.planespotters.net/airline/China-Eastern-Airlines?p=5,B-9941,Airbus A320-214(WL),C8Y150,24. Jul 2013,4.7 Years,A320
1519894624-6104,https://www.planespotters.net/airline/China-Eastern-Airlines?p=10,B-2022,Boeing 777-39P(ER),F6C52Y258,29. Jul 2015,2.6 Years,777
1519894636-6335,https://www.planespotters.net/airline/China-Eastern-Airlines?p=5,B-,Airbus A320-251N,,(On Order),,A320
1519894629-6178,https://www.planespotters.net/airline/China-Eastern-Airlines?p=8,B-5257,Boeing 737-79P(WL),C8Y126,23. Jul 2009,8.7 Years,737
1519894636-6322,https://www.planespotters.net/airline/China-Eastern-Airlines?p=5,B-9927,Airbus A320-214,C8Y150,26. Mar 2013,5.0 Years,A320
1519894629-6219,https://www.planespotters.net/airline/China-Eastern-Airlines?p=8,B-1536,Boeing 737-89P(WL),,19. Sep 2016,1.5 Years,737
1519894641-6448,https://www.planespotters.net/airline/China-Eastern-Airlines?p=3,B-6673,Airbus A320-232,C8Y150,22. Jun 2010,7.7 Years,A320
1519894626-6145,https://www.planespotters.net/airline/China-Eastern-Airlines?p=9,B-5515,Boeing 737-89P(WL),C8Y159,"31. Oct 2011
(22. Jun 2010)",7.7 Years,737
1519894634-6287,https://www.planespotters.net/airline/China-Eastern-Airlines?p=6,B-8569,Airbus A321-211(WL),C12Y170,30. Aug 2017,0.5 Years,A320
1519894641-6431,https://www.planespotters.net/airline/China-Eastern-Airlines?p=3,B-6558,Airbus A320-232,C8Y150,20. Feb 2009,9.1 Years,A320
1519894646-6561,https://www.planespotters.net/airline/China-Eastern-Airlines?p=1,B-1018,Airbus A320-214(WL),C8Y150,27. Oct 2017,0.4 Years,A320
1519894626-6165,https://www.planespotters.net/airline/China-Eastern-Airlines?p=9,B-5858,Boeing 737-89P(WL),C8Y159,12. Nov 2013,4.3 Years,737
1519894634-6318,https://www.planespotters.net/airline/China-Eastern-Airlines?p=6,B-5930,Airbus A330-243,C30Y204,01. Jul 2013,4.7 Years,A330
1519894639-6406,https://www.planespotters.net/airline/China-Eastern-Airlines?p=4,B-8498,Airbus A320-232(WL),C8Y150,31. Mar 2016,2.0 Years,A320
1519894634-6309,https://www.planespotters.net/airline/China-Eastern-Airlines?p=6,B-9907,Airbus A321-231(WL),C12Y170,26. Apr 2013,4.9 Years,A320
1519894626-6162,https://www.planespotters.net/airline/China-Eastern-Airlines?p=9,B-5839,Boeing 737-89P(WL),C8Y159,06. Jun 2016,4.6 Years,737
1519894641-6439,https://www.planespotters.net/airline/China-Eastern-Airlines?p=3,B-6616,Airbus A320-232,C8Y150,17. Nov 2009,8.4 Years,A320
1519894646-6546,https://www.planespotters.net/airline/China-Eastern-Airlines?p=1,B-6460,Airbus A319-115(WL),C8Y114,03. Sep 2014,3.5 Years,A320
1519894639-6414,https://www.planespotters.net/airline/China-Eastern-Airlines?p=4,B-8856,Airbus A320-214(WL),C8Y150,30. Jun 2017,0.7 Years,A320
1519894629-6211,https://www.planespotters.net/airline/China-Eastern-Airlines?p=8,B-1320,Boeing 737-89P(WL),,16. Nov 2017,0.3 Years,737
1519894631-6221,https://www.planespotters.net/airline/China-Eastern-Airlines?p=7,B-5942,Airbus A330-243,C30Y204,03. Mar 2014,4.1 Years,A330
1519894634-6289,https://www.planespotters.net/airline/China-Eastern-Airlines?p=6,B-8571,Airbus A321-211(WL),C12Y170,28. Jul 2016,1.6 Years,A320
1519894639-6378,https://www.planespotters.net/airline/China-Eastern-Airlines?p=4,B-6879,Airbus A320-214,C8Y150,16. May 2012,5.8 Years,A320
1519894639-6384,https://www.planespotters.net/airline/China-Eastern-Airlines?p=4,B-6928,Airbus A320-214,C8Y150,12. Jun 2012,5.8 Years,A320
1519894644-6521,https://www.planespotters.net/airline/China-Eastern-Airlines?p=2,B-6012,Airbus A320-214,C8Y150,28. Jul 2004,13.7 Years,A320
1519894624-6090,https://www.planespotters.net/airline/China-Eastern-Airlines?p=10,B-7592,Boeing 737-89P(WL),,18. Nov 2016,1.3 Years,737
1519894644-6494,https://www.planespotters.net/airline/China-Eastern-Airlines?p=2,B-2230,Airbus A320-214,C8Y150,10. Apr 2003,15.0 Years,A320
1519894636-6356,https://www.planespotters.net/airline/China-Eastern-Airlines?p=5,B-6345,Airbus A321-211,C20Y155,18. Apr 2008,9.9 Years,A320
1519894626-6130,https://www.planespotters.net/airline/China-Eastern-Airlines?p=9,B-1792,Boeing 737-89P(WL),,23. Jul 2015,2.6 Years,737
1519894634-6297,https://www.planespotters.net/airline/China-Eastern-Airlines?p=6,B-8651,Airbus A321-211(WL),C12Y170,09. Dec 2016,1.2 Years,A320
1519894631-6228,https://www.planespotters.net/airline/China-Eastern-Airlines?p=7,B-5973,Airbus A330-243,C30Y204,22. May 2015,2.8 Years,A330
1519894631-6261,https://www.planespotters.net/airline/China-Eastern-Airlines?p=7,B-8970,Airbus A330-343,C32W32Y230,28. Jun 2017,0.8 Years,A330
1519894624-6083,https://www.planespotters.net/airline/China-Eastern-Airlines?p=10,B-7301,Boeing 737-89P(WL),,26. Feb 2016,2.1 Years,737
1519894641-6471,https://www.planespotters.net/airline/China-Eastern-Airlines?p=3,B-6832,Airbus A320-214,C8Y150,21. Dec 2011,6.2 Years,A320
1519894629-6173,https://www.planespotters.net/airline/China-Eastern-Airlines?p=8,B-5242,Boeing 737-79P(WL),C8Y126,23. Aug 2007,10.6 Years,737
1519894631-6230,https://www.planespotters.net/airline/China-Eastern-Airlines?p=7,B-6082,Airbus A330-243,C24Y242,23. Mar 2007,11.0 Years,A330
1519894631-6255,https://www.planespotters.net/airline/China-Eastern-Airlines?p=7,B-6506,Airbus A330-343,C38Y262,31. Jul 2008,9.7 Years,A330
1519894631-6250,https://www.planespotters.net/airline/China-Eastern-Airlines?p=7,B-6120,Airbus A330-343,C38Y262,25. Jan 2006,12.3 Years,A330
1519894631-6263,https://www.planespotters.net/airline/China-Eastern-Airlines?p=7,B-8972,Airbus A330-343,C32W32Y230,28. Aug 2017,0.6 Years,A330
1519894646-6569,https://www.planespotters.net/airline/China-Eastern-Airlines?p=1,B-1609,Airbus A320-214(WL),C8Y150,10. Dec 2014,3.3 Years,A320
1519894636-6349,https://www.planespotters.net/airline/China-Eastern-Airlines?p=5,B-2292,Airbus A321-211,C20Y155,08. Sep 2005,12.5 Years,A320
1519894641-6438,https://www.planespotters.net/airline/China-Eastern-Airlines?p=3,B-6601,Airbus A320-232,C8Y150,19. Oct 2009,8.5 Years,A320
1519894641-6454,https://www.planespotters.net/airline/China-Eastern-Airlines?p=3,B-6716,Airbus A320-232,C8Y150,21. Dec 2010,7.2 Years,A320
1519894639-6392,https://www.planespotters.net/airline/China-Eastern-Airlines?p=4,B-8222,Airbus A320-232(WL),C8Y150,23. Dec 2015,2.2 Years,A320
1519894626-6143,https://www.planespotters.net/airline/China-Eastern-Airlines?p=9,B-5493,Boeing 737-89P(WL),C8Y159,15. Dec 2009,8.2 Years,737
1519894631-6236,https://www.planespotters.net/airline/China-Eastern-Airlines?p=7,B-6538,Airbus A330-243,C30Y204,05. Dec 2011,6.3 Years,A330
1519894641-6445,https://www.planespotters.net/airline/China-Eastern-Airlines?p=3,B-6639,Airbus A320-232,C8Y150,08. Apr 2010,8.0 Years,A320
1519894631-6268,https://www.planespotters.net/airline/China-Eastern-Airlines?p=7,B-2502,Boeing 737-7W0(WL),C8Y126,30. Jul 2003,18.7 Years,737
