web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519892604-2654","https://www.planespotters.net/airline/Delta-Air-Lines?p=9","N841DN","Boeing 737-932(ER)(WL)","C20W21Y139","18. Jun 2015","3841","2.7 Years"
"1519892602-2621","https://www.planespotters.net/airline/Delta-Air-Lines?p=10","N554NW","Boeing 757-251(WL)","C20W29Y150","29. Oct 2008","5654","16.4 Years"
"1519892622-3039","https://www.planespotters.net/airline/Delta-Air-Lines?p=2","N339NW","Airbus A320-212","C12W18Y120","29. Oct 2008","3239","25.5 Years"
"1519892612-2808","https://www.planespotters.net/airline/Delta-Air-Lines?p=6","N961AT","Boeing 717-2BD","C12W15Y83","03. Jun 2014","9520","16.9 Years"
"1519892589-2324","https://www.planespotters.net/airline/Delta-Air-Lines?p=15","N916DL","McDonnell Douglas MD-88","C16W15Y118","31. Mar 1988","916","30.1 Years"
"1519892591-2404","https://www.planespotters.net/airline/Delta-Air-Lines?p=14","N901DE","McDonnell Douglas MD-88","C16W15Y118","03. Apr 1992","9001","26.0 Years"
"1519892607-2702","https://www.planespotters.net/airline/Delta-Air-Lines?p=8","N385DN","Boeing 737-832(WL)","C16W18Y126","19. Nov 1999","3715","18.4 Years"
"1519892599-2575","https://www.planespotters.net/airline/Delta-Air-Lines?p=11","N690DL","Boeing 757-232(WL)","C20W29Y150","26. Jun 1998","690","19.7 Years"
"1519892612-2819","https://www.planespotters.net/airline/Delta-Air-Lines?p=6","N974AT","Boeing 717-2BD","C12W15Y83","05. Mar 2015","9536","16.2 Years"
"1519892602-2635","https://www.planespotters.net/airline/Delta-Air-Lines?p=10","N661DN","Boeing 757-232","F72","23. Dec 1990","661","27.2 Years"
"1519892619-2967","https://www.planespotters.net/airline/Delta-Air-Lines?p=3","N374NW","Airbus A320-212","C12W18Y120","29. Oct 2008","3274","16.3 Years"
"1519892604-2645","https://www.planespotters.net/airline/Delta-Air-Lines?p=9","N832DN","Boeing 737-932(ER)(WL)","C20W21Y139","22. Jan 2015","3832","3.1 Years"
"1519892586-2294","https://www.planespotters.net/airline/Delta-Air-Lines?p=16","N995DL","McDonnell Douglas MD-88","C16W15Y118","05. Feb 1992","995","26.2 Years"
"1519892624-3113","https://www.planespotters.net/airline/Delta-Air-Lines?p=1","N362NB","Airbus A319-114","C12W18Y96","29. Oct 2008","3162","14.8 Years"
"1519892586-2272","https://www.planespotters.net/airline/Delta-Air-Lines?p=16","N973DL","McDonnell Douglas MD-88","C16W15Y118","22. Mar 1991","973","27.1 Years"
"1519892617-2909","https://www.planespotters.net/airline/Delta-Air-Lines?p=4","N344DN","Airbus A321-211(WL)","C20W29Y143","(On Order)","",""
"1519892591-2385","https://www.planespotters.net/airline/Delta-Air-Lines?p=14","N701DN","Boeing 777-232(LR)","C37W36Y218","28. Feb 2008","7101","10.1 Years"
"1519892596-2526","https://www.planespotters.net/airline/Delta-Air-Lines?p=12","N1602","Boeing 767-332(ER)(WL)","C36W32Y143","22. Jan 1999","1602","19.1 Years"
"1519892612-2831","https://www.planespotters.net/airline/Delta-Air-Lines?p=6","N987DN","Boeing 717-23S","C12W15Y83","04. Jan 2016","9587","17.6 Years"
