web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519894781-6738","https://www.planespotters.net/airline/Air-China?p=5","B-3999","Boeing 737-79L(BBJ)","VIP","26. Apr 2012","null","6.9 Years"
"1519894783-6784","https://www.planespotters.net/airline/Air-China?p=4","B-6092","Airbus A330-243","C30Y207","31. Oct 2007","null","10.4 Years"
"1519894783-6816","https://www.planespotters.net/airline/Air-China?p=4","B-6512","Airbus A330-343","C30W16Y255","09. Mar 2010","null","8.1 Years"
"1519894791-6937","https://www.planespotters.net/airline/Air-China?p=1","B-6031","Airbus A319-131","C8Y120","24. Mar 2004","null","14.1 Years"
"1519894791-6936","https://www.planespotters.net/airline/Air-China?p=1","B-6024","Airbus A319-131","C8Y120","02. Sep 2003","null","14.7 Years"
"1519894786-6866","https://www.planespotters.net/airline/Air-China?p=3","B-8799","Airbus A321-232(WL)","C16Y161","23. Jan 2017","null","1.1 Years"
"1519894786-6872","https://www.planespotters.net/airline/Air-China?p=3","B-5927","Airbus A330-243","C30Y207","04. Sep 2013","null","4.6 Years"
"1519894791-6932","https://www.planespotters.net/airline/Air-China?p=1","B-6004","Airbus A319-115","C8Y120","07. Jul 2005","null","12.7 Years"
"1519894776-6665","https://www.planespotters.net/airline/Air-China?p=7","B-7893","Boeing 737-89L(WL)","C8Y168","06. Sep 2016","null","1.5 Years"
"1519894791-6975","https://www.planespotters.net/airline/Air-China?p=1","B-6676","Airbus A320-232","C8Y150","10. Jun 2010","null","7.8 Years"
"1519894774-6590","https://www.planespotters.net/airline/Air-China?p=8","B-2033","Boeing 777-39L(ER)","F8C42Y261","25. Sep 2012","null","5.5 Years"
"1519894781-6729","https://www.planespotters.net/airline/Air-China?p=5","B-1393","Boeing 737-8 MAX","C8Y168","30. Dec 2017","null","0.2 Years"
"1519894783-6777","https://www.planespotters.net/airline/Air-China?p=4","B-6075","Airbus A330-243","C30Y207","08. Nov 2006","null","11.4 Years"
"1519894779-6688","https://www.planespotters.net/airline/Air-China?p=6","B-2643","Boeing 737-89L","C8Y159","27. Sep 1999","null","18.5 Years"
"1519894788-6919","https://www.planespotters.net/airline/Air-China?p=2","B-1879","Airbus A321-232(WL)","C16Y161","14. Nov 2014","null","3.3 Years"
"1519894783-6827","https://www.planespotters.net/airline/Air-China?p=4","B-","Airbus A350-941","C32Y280","(On Order)","null",""
"1519894779-6690","https://www.planespotters.net/airline/Air-China?p=6","B-2648","Boeing 737-89L","C8Y159","15. Apr 2000","null","18.0 Years"
"1519894786-6865","https://www.planespotters.net/airline/Air-China?p=3","B-8595","Airbus A321-232(WL)","C16Y161","17. Jul 2017","null","0.7 Years"
"1519894781-6761","https://www.planespotters.net/airline/Air-China?p=5","B-1529","Boeing 737-89L(WL)","C12Y147","01. Sep 2015","null","2.5 Years"
"1519894779-6685","https://www.planespotters.net/airline/Air-China?p=6","B-2510","Boeing 737-8Z0","C8Y159","28. Oct 2002","null","18.5 Years"
"1519894774-6578","https://www.planespotters.net/airline/Air-China?p=8","B-2485","Boeing 747-89L","F12C54W66Y233","27. Sep 2014","null","3.9 Years"
"1519894786-6849","https://www.planespotters.net/airline/Air-China?p=3","B-6823","Airbus A321-232","C12Y173","18. Oct 2011","null","6.4 Years"
"1519894776-6644","https://www.planespotters.net/airline/Air-China?p=7","B-5680","Boeing 737-89L(WL)","C8Y159","20. Aug 2012","null","5.6 Years"
"1519894786-6854","https://www.planespotters.net/airline/Air-China?p=3","B-6917","Airbus A321-232","C12Y173","23. Aug 2012","null","5.5 Years"
"1519894786-6850","https://www.planespotters.net/airline/Air-China?p=3","B-6825","Airbus A321-232","C12Y173","06. Dec 2011","null","6.3 Years"
"1519894786-6874","https://www.planespotters.net/airline/Air-China?p=3","B-5933","Airbus A330-243","C30Y207","02. Dec 2013","null","4.3 Years"
"1519894774-6615","https://www.planespotters.net/airline/Air-China?p=8","B-1469","Boeing 787-9 Dreamliner","C30W34Y229","12. Dec 2017","null","0.2 Years"
"1519894779-6708","https://www.planespotters.net/airline/Air-China?p=6","B-5341","Boeing 737-89L(WL)","C8Y159","15. Oct 2007","null","10.4 Years"
"1519894786-6877","https://www.planespotters.net/airline/Air-China?p=3","B-6072","Airbus A330-243","C12Y271","07. Jul 2006","null","11.8 Years"
"1519894774-6596","https://www.planespotters.net/airline/Air-China?p=8","B-2040","Boeing 777-39L(ER)","F8C42Y261","24. Sep 2013","null","4.6 Years"
"1519894786-6860","https://www.planespotters.net/airline/Air-China?p=3","B-8495","Airbus A321-232(WL)","C16Y161","29. Jul 2016","null","1.6 Years"
"1519894774-6609","https://www.planespotters.net/airline/Air-China?p=8","B-7973","Boeing 777-39L(ER)","C36Y356","05. Dec 2016","null","1.3 Years"
"1519894783-6790","https://www.planespotters.net/airline/Air-China?p=4","B-6131","Airbus A330-243","C30Y207","25. Jul 2008","null","9.7 Years"
"1519894788-6911","https://www.planespotters.net/airline/Air-China?p=2","B-1638","Airbus A321-213(WL)","C16Y161","29. Jun 2015","null","2.7 Years"
"1519894781-6727","https://www.planespotters.net/airline/Air-China?p=5","B-1225","Boeing 737-8 MAX","C8Y168","(On Order)","null","0.0 Years"
"1519894781-6755","https://www.planespotters.net/airline/Air-China?p=5","B-1417","Boeing 737-89L(WL)","C8Y168","13. Feb 2017","null","1.1 Years"
"1519894791-6969","https://www.planespotters.net/airline/Air-China?p=1","B-6606","Airbus A320-214","C8Y150","28. Jul 2009","null","10.3 Years"
"1519894791-6930","https://www.planespotters.net/airline/Air-China?p=1","B-2364","Airbus A319-115","C8Y120","28. Jun 2005","null","12.7 Years"
"1519894786-6840","https://www.planespotters.net/airline/Air-China?p=3","B-6665","Airbus A321-213","F12Y173","26. May 2010","null","7.8 Years"
"1519894779-6703","https://www.planespotters.net/airline/Air-China?p=6","B-5325","Boeing 737-86N","C8Y159","31. May 2007","null","10.8 Years"
"1519894788-6887","https://www.planespotters.net/airline/Air-China?p=2","B-6915","Airbus A320-214","C8Y150","13. Jul 2012","null","5.7 Years"
"1519894776-6669","https://www.planespotters.net/airline/Air-China?p=7","B-2445","Boeing 747-4J6","F10C42Y292","25. Feb 1994","null","24.0 Years"
"1519894776-6646","https://www.planespotters.net/airline/Air-China?p=7","B-5682","Boeing 737-89L(WL)","C8Y159","16. Oct 2012","null","5.4 Years"
"1519894783-6815","https://www.planespotters.net/airline/Air-China?p=4","B-6511","Airbus A330-343","C30W16Y255","10. May 2010","null","7.9 Years"
"1519894791-6946","https://www.planespotters.net/airline/Air-China?p=1","B-6046","Airbus A319-115","C8Y120","23. Aug 2005","null","12.6 Years"
"1519894781-6765","https://www.planespotters.net/airline/Air-China?p=5","B-1760","Boeing 737-89L(WL)","C12Y147","21. Jan 2015","null","3.1 Years"
"1519894776-6664","https://www.planespotters.net/airline/Air-China?p=7","B-7892","Boeing 737-89L(WL)","C8Y168","27. Jun 2016","null","1.7 Years"
"1519894781-6743","https://www.planespotters.net/airline/Air-China?p=5","B-5203","Boeing 737-79L(WL)","C8Y120","26. Jan 2006","null","12.1 Years"
"1519894788-6900","https://www.planespotters.net/airline/Air-China?p=2","B-8745","Airbus A320-232(WL)","C8Y150","14. Apr 2017","null","0.9 Years"
"1519894776-6633","https://www.planespotters.net/airline/Air-China?p=7","B-5518","Boeing 737-89L(WL)","C8Y159","20. Jul 2010","null","7.7 Years"
"1519894791-6933","https://www.planespotters.net/airline/Air-China?p=1","B-6014","Airbus A319-115","C8Y120","21. Jul 2005","null","12.6 Years"
"1519894791-6957","https://www.planespotters.net/airline/Air-China?p=1","B-6236","Airbus A319-131","C8Y120","19. Jul 2007","null","10.6 Years"
"1519894776-6647","https://www.planespotters.net/airline/Air-China?p=7","B-5696","Boeing 737-89L(WL)","C12Y147","11. Dec 2012","null","5.3 Years"
"1519894786-6832","https://www.planespotters.net/airline/Air-China?p=3","B-6596","Airbus A321-213","C12Y173","18. Sep 2009","null","8.5 Years"
"1519894776-6642","https://www.planespotters.net/airline/Air-China?p=7","B-5622","Boeing 737-89L(WL)","C8Y159","08. Dec 2011","null","6.3 Years"
"1519894776-6648","https://www.planespotters.net/airline/Air-China?p=7","B-5793","Boeing 737-89L(WL)","C12Y147","09. Sep 2013","null","4.5 Years"
"1519894788-6914","https://www.planespotters.net/airline/Air-China?p=2","B-1833","Airbus A321-232(WL)","C16Y161","20. Jun 2014","null","3.7 Years"
"1519894779-6695","https://www.planespotters.net/airline/Air-China?p=6","B-5170","Boeing 737-808","C8Y159","24. Jul 2006","null","11.6 Years"
"1519894774-6605","https://www.planespotters.net/airline/Air-China?p=8","B-2089","Boeing 777-39L(ER)","F8C42Y261","06. Feb 2012","null","6.1 Years"
"1519894781-6762","https://www.planespotters.net/airline/Air-China?p=5","B-1530","Boeing 737-89L(WL)","C12Y147","29. Sep 2015","null","2.5 Years"
"1519894791-6958","https://www.planespotters.net/airline/Air-China?p=1","B-6237","Airbus A319-115","C8Y120","13. Aug 2007","null","10.6 Years"
"1519894786-6859","https://www.planespotters.net/airline/Air-China?p=3","B-8492","Airbus A321-232(WL)","C16Y161","22. Jun 2016","null","1.7 Years"
"1519894781-6742","https://www.planespotters.net/airline/Air-China?p=5","B-5202","Boeing 737-79L(WL)","C8Y120","22. Dec 2005","null","12.2 Years"
"1519894788-6929","https://www.planespotters.net/airline/Air-China?p=2","B-6386","Airbus A321-213","F12Y173","02. Dec 2008","null","9.3 Years"
"1519894791-6944","https://www.planespotters.net/airline/Air-China?p=1","B-6038","Airbus A319-115","C8Y120","28. Sep 2004","null","13.5 Years"
"1519894774-6607","https://www.planespotters.net/airline/Air-China?p=8","B-7869","Boeing 777-39L(ER)","C36Y356","17. Nov 2016","null","1.4 Years"
"1519894776-6631","https://www.planespotters.net/airline/Air-China?p=7","B-5509","Boeing 737-86N","C8Y159","10. Jun 2010","null","7.8 Years"
"1519894776-6672","https://www.planespotters.net/airline/Air-China?p=7","B-2479","Boeing 747-89L","VIP","29. Dec 2014","null","3.3 Years"
"1519894783-6804","https://www.planespotters.net/airline/Air-China?p=4","B-5946","Airbus A330-343","C30W16Y255","23. May 2014","null","3.9 Years"
"1519894781-6735","https://www.planespotters.net/airline/Air-China?p=5","B-2612","Boeing 737-79L","C8Y120","20. Jul 2004","null","13.7 Years"
"1519894791-6948","https://www.planespotters.net/airline/Air-China?p=1","B-6048","Airbus A319-131","C8Y120","27. Sep 2005","null","12.5 Years"
"1519894786-6878","https://www.planespotters.net/airline/Air-China?p=3","B-6073","Airbus A330-243","C30Y207","26. Sep 2006","null","11.5 Years"
"1519894774-6618","https://www.planespotters.net/airline/Air-China?p=8","B-7832","Boeing 787-9 Dreamliner","C30W34Y229","26. Aug 2016","null","1.6 Years"
"1519894791-6941","https://www.planespotters.net/airline/Air-China?p=1","B-6035","Airbus A319-115","C8Y120","25. Aug 2004","null","13.6 Years"
"1519894788-6907","https://www.planespotters.net/airline/Air-China?p=2","B-8890","Airbus A320-271N","","13. Dec 2017","null","0.2 Years"
"1519894779-6713","https://www.planespotters.net/airline/Air-China?p=6","B-5391","Boeing 737-89L(WL)","C8Y159","20. Jun 2008","null","9.7 Years"
"1519894791-6970","https://www.planespotters.net/airline/Air-China?p=1","B-6607","Airbus A320-214","C8Y150","23. Aug 2010","null","10.0 Years"
"1519894781-6752","https://www.planespotters.net/airline/Air-China?p=5","B-5297","Boeing 737-79L(WL)","C8Y120","26. Feb 2013","null","5.1 Years"
"1519894779-6706","https://www.planespotters.net/airline/Air-China?p=6","B-5328","Boeing 737-86N","C8Y159","26. Nov 2007","null","10.3 Years"
"1519894788-6913","https://www.planespotters.net/airline/Air-China?p=2","B-1816","Airbus A321-213","C12Y173","17. Mar 2014","null","4.0 Years"
"1519894791-6939","https://www.planespotters.net/airline/Air-China?p=1","B-6033","Airbus A319-131","C8Y120","28. Apr 2004","null","14.0 Years"
"1519894781-6775","https://www.planespotters.net/airline/Air-China?p=5","B-1942","Boeing 737-89L(WL)","C12Y147","13. Jan 2014","null","4.2 Years"
"1519894791-6965","https://www.planespotters.net/airline/Air-China?p=1","B-1852","Airbus A320-214(WL)","C8Y150","12. Nov 2014","null","3.3 Years"
"1519894786-6857","https://www.planespotters.net/airline/Air-China?p=3","B-6961","Airbus A321-213","C12Y173","21. Jan 2013","null","5.1 Years"
