web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519893948-4818","https://www.planespotters.net/airline/Lufthansa?p=6","D-ABYG","Boeing 747-830","F8C80W32Y244","12. Mar 2013","null","5.1 Years"
"1519893953-4898","https://www.planespotters.net/airline/Lufthansa?p=4","D-AISU","Airbus A321-231","CY205","26. Aug 2009","null","8.5 Years"
"1519893948-4831","https://www.planespotters.net/airline/Lufthansa?p=6","D-ABYT","Boeing 747-830","F8C80W32Y244","20. Mar 2015","null","3.0 Years"
"1519893951-4843","https://www.planespotters.net/airline/Lufthansa?p=5","D-AIHD","Airbus A340-642","F8C44W32Y213","16. Dec 2003","null","14.3 Years"
"1519893953-4930","https://www.planespotters.net/airline/Lufthansa?p=4","D-AIGO","Airbus A340-313","F8C36Y197","07. Aug 1998","null","19.6 Years"
"1519893956-4967","https://www.planespotters.net/airline/Lufthansa?p=3","D-AIDH","Airbus A321-231","CY205","18. May 2011","null","6.8 Years"
"1519893953-4922","https://www.planespotters.net/airline/Lufthansa?p=4","D-AIFA","Airbus A340-313","C18W19Y261","25. Aug 2000","null","17.7 Years"
"1519893961-5065","https://www.planespotters.net/airline/Lufthansa?p=1","D-AIPC","Airbus A320-211","CY168","04. Dec 2004
(21. Nov 1989)","null","28.5 Years"
"1519893956-4976","https://www.planespotters.net/airline/Lufthansa?p=3","D-AIDQ","Airbus A321-231","CY205","08. Feb 2012","null","6.1 Years"
"1519893951-4869","https://www.planespotters.net/airline/Lufthansa?p=5","D-AIXJ","Airbus A350-941","C48W21Y224","(On Order)","null",""
"1519893958-5008","https://www.planespotters.net/airline/Lufthansa?p=2","D-AIUY","Airbus A320-214(WL)","CY180","26. Sep 2016","null","1.5 Years"
"1519893951-4872","https://www.planespotters.net/airline/Lufthansa?p=5","D-AIMC","Airbus A380-841","F8C78W52Y371","20. Aug 2010","null","8.1 Years"
"1519893958-5014","https://www.planespotters.net/airline/Lufthansa?p=2","D-AIZC","Airbus A320-214","CY168","15. Jan 2010","null","8.2 Years"
"1519893958-4996","https://www.planespotters.net/airline/Lufthansa?p=2","D-AIUM","Airbus A320-214(WL)","CY168","27. Apr 2015","null","2.9 Years"
"1519893958-5021","https://www.planespotters.net/airline/Lufthansa?p=2","D-AIZJ","Airbus A320-214","CY168","24. Sep 2010","null","7.5 Years"
"1519893951-4865","https://www.planespotters.net/airline/Lufthansa?p=5","D-AIXF","Airbus A350-941","C48W21Y224","16. Nov 2017","null","0.4 Years"
"1519893956-4962","https://www.planespotters.net/airline/Lufthansa?p=3","D-AIDC","Airbus A321-231","CY205","12. Jan 2011","null","7.2 Years"
"1519893948-4809","https://www.planespotters.net/airline/Lufthansa?p=6","D-ABVU","Boeing 747-430","C67W32Y272","21. Dec 1998","null","19.2 Years"
"1519893956-4981","https://www.planespotters.net/airline/Lufthansa?p=3","D-AIDX","Airbus A321-231","CY205","04. Feb 2015","null","3.1 Years"
"1519893953-4929","https://www.planespotters.net/airline/Lufthansa?p=4","D-AIGN","Airbus A340-313","F8C48Y165","12. Mar 1998","null","20.0 Years"
"1519893953-4896","https://www.planespotters.net/airline/Lufthansa?p=4","D-AISR","Airbus A321-231","CY205","22. Jul 2009","null","8.6 Years"
"1519893948-4802","https://www.planespotters.net/airline/Lufthansa?p=6","D-ABTL","Boeing 747-430","C67W32Y272","15. Mar 2002","null","16.0 Years"
"1519893958-5004","https://www.planespotters.net/airline/Lufthansa?p=2","D-AIUU","Airbus A320-214(WL)","CY180","19. May 2016","null","1.8 Years"
"1519893948-4822","https://www.planespotters.net/airline/Lufthansa?p=6","D-ABYK","Boeing 747-830","F8C80W32Y244","13. Aug 2013","null","4.6 Years"
"1519893961-5080","https://www.planespotters.net/airline/Lufthansa?p=1","D-AIQF","Airbus A320-211","CY168","20. Apr 2017
(26. Jul 1991)","null","26.8 Years"
